model,actual_w,predicted_w
Linijinė regresija,2014.16964287,3007.0564530838064
Linijinė regresija,2870.197142857143,3161.198554711488
Linijinė regresija,1269.97857144,2238.606663957372
Linijinė regresija,2630.4542857142856,2952.2331436271133
Linijinė regresija,1476.194761904762,1874.6759667977012
Linijinė regresija,609.97678569,1321.7401527401662
Linijinė regresija,598.5614285714286,1049.3514032918529
Linijinė regresija,146.700000001,555.2307414408051
Linijinė regresija,31.84380952380953,515.1763519306742
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,422.6318850943617
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,436.45973185655293
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,327.45639212820515
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,364.18943416945785
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,615.7950741173181
Linijinė regresija,0.0,64.34730351957933
Linijinė regresija,0.0,447.4099283382993
Linijinė regresija,0.0,341.9536333844362
Linijinė regresija,0.0,495.2615925356704
Linijinė regresija,0.0,94.0151154696805
Linijinė regresija,0.0,86.4888213704171
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,258.4517958188653
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,273.12954254611486
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,269.1997393946267
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,348.35007036374645
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,276.50579887050753
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,216.38760548480332
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,129.62627268119195
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,38.236734887815146
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,24.64973153968731
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,381.3708986714237
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,121.78126240041365
Linijinė regresija,0.0,68.02175441294548
Linijinė regresija,0.0,56.80555271972753
Linijinė regresija,0.0,137.2617958761939
Linijinė regresija,0.0,1.9726613340890253
Linijinė regresija,0.0,381.95743529754964
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,599.6314684089602
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,582.1352309348704
Linijinė regresija,0.0,191.30660214778527
Linijinė regresija,0.0,282.41600737746467
Linijinė regresija,0.0,312.22165995853993
Linijinė regresija,0.0,402.17760429888494
Linijinė regresija,0.0,381.4370400861908
Linijinė regresija,0.0,424.1903510460479
Linijinė regresija,0.0,342.54388276311784
Linijinė regresija,0.0,445.2678586639986
Linijinė regresija,0.0,314.33835089833065
Linijinė regresija,0.0,131.96062313707534
Linijinė regresija,0.0,243.0246465702703
Linijinė regresija,0.0,11.538062799011641
Linijinė regresija,0.0,588.5940717080566
Linijinė regresija,0.0,169.03013726156587
Linijinė regresija,0.0,409.1185856350412
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,374.26208216069335
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,267.07316837296
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,40.79623707638257
Linijinė regresija,0.0,207.22375036544236
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,368.94185110326634
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,532.9673933869262
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,514.8285542335643
Linijinė regresija,0.0,166.79684670078768
