model,actual_w,predicted_w
Linijinė regresija,4068.0857143,4119.839188189538
Linijinė regresija,1874.94,2313.3566536197495
Linijinė regresija,3051.2,3312.42642353091
Linijinė regresija,1717.7666666666669,1802.749962574865
Linijinė regresija,2105.48571429,2478.8449505918134
Linijinė regresija,1504.8223809523809,1731.5772850669755
Linijinė regresija,1345.97500001,1667.7942535795637
Linijinė regresija,717.9266666666666,1188.233388177704
Linijinė regresija,633.1517857,848.4291202783452
Linijinė regresija,188.30190476190475,772.556445056548
Linijinė regresija,124.462499999,231.63791851003498
Linijinė regresija,0.0,579.4564859726715
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,410.11297169026784
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,488.0443940920186
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,702.8419053490825
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,111.03009692946671
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,94.29737459801527
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,160.4623763468726
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,236.0888036751012
Linijinė regresija,0.0,86.38440839907253
Linijinė regresija,0.0,139.16530203195634
Linijinė regresija,0.0,148.06708470678586
Linijinė regresija,0.0,83.94398642456781
Linijinė regresija,0.0,147.05425150879728
Linijinė regresija,0.0,133.39008142180774
Linijinė regresija,0.0,110.00252735131926
Linijinė regresija,0.0,112.21988870839323
Linijinė regresija,0.0,144.48772350577292
Linijinė regresija,0.0,130.66692256997067
Linijinė regresija,0.0,128.48777715778397
Linijinė regresija,0.0,183.36189787848616
Linijinė regresija,0.0,119.49555940285882
Linijinė regresija,0.0,238.04587799914134
Linijinė regresija,0.0,109.96192690572661
Linijinė regresija,0.0,236.19197638007336
Linijinė regresija,0.0,122.58583561574142
Linijinė regresija,0.0,234.8208517495923
Linijinė regresija,0.0,107.62105126678489
Linijinė regresija,0.0,143.9064495409575
Linijinė regresija,0.0,33.60594730088178
Linijinė regresija,0.0,143.37437860272348
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,172.04894209695067
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,163.17992856497858
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,210.24144620522475
Linijinė regresija,0.0,252.6330241038877
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,207.0589183823422
Linijinė regresija,0.0,21.122440682008346
Linijinė regresija,0.0,93.53618910861496
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,301.41191921637164
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,499.4111948450327
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,610.2514915187776
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,653.1810222473587
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,736.7467929987479
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,695.0306722105952
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,697.6026674602754
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,586.7977091507082
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,531.1957434713158
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,750.9938680276819
Linijinė regresija,0.0,52.91324322535638
Linijinė regresija,0.0,821.8745605365393
Linijinė regresija,0.0,597.7795876839837
Linijinė regresija,0.0,799.1763076218876
Linijinė regresija,0.0,488.18354721978085
Linijinė regresija,0.0,799.2839024105024
Linijinė regresija,0.0,804.3297295483799
Linijinė regresija,0.0,67.19314083226618
Linijinė regresija,0.0,828.3722280356697
Linijinė regresija,0.0,16.07857524357223
Linijinė regresija,0.0,853.6362175705044
Linijinė regresija,0.0,286.40652172719547
Linijinė regresija,0.0,759.8367406094667
Linijinė regresija,0.0,362.9906695195523
Linijinė regresija,0.0,401.54205562012885
Linijinė regresija,0.0,643.9376866350167
Linijinė regresija,0.0,435.3326995337802
Linijinė regresija,0.0,566.5964513823319
Linijinė regresija,0.0,480.6635722689671
Linijinė regresija,0.0,740.4117519581241
Linijinė regresija,0.0,636.5675343413232
Linijinė regresija,17.65952380952381,879.3030499181505
Linijinė regresija,398.9247619047619,1144.3255324140728
Linijinė regresija,338.50357143,898.1265768301791
Linijinė regresija,998.8633333333332,1631.1602740504377
Linijinė regresija,775.65714287,1271.6368577257335
Linijinė regresija,1482.42678572,1981.0442725125113
Linijinė regresija,2077.38,2553.828012121189
Linijinė regresija,1992.29642857,2751.2873417790697
Linijinė regresija,2764.270476190476,3301.5818425069547
Linijinė regresija,3601.557619047619,4112.4370668586225
Linijinė regresija,2271.417857,3209.163160143994
Linijinė regresija,1996.65000001,3017.405941496828
Linijinė regresija,4300.052380952381,4851.031399602764
Linijinė regresija,5597.93238095238,5654.408059886965
Linijinė regresija,2789.9214286,3382.5499355796937
Linijinė regresija,3858.1625,4470.798001320013
Linijinė regresija,5011.706666666667,5714.286299151395
Linijinė regresija,6028.525,6428.588865778359
Linijinė regresija,5412.830952380952,5559.951979187078
Linijinė regresija,6826.2142859,6309.055342272409
Linijinė regresija,6603.157619047619,6605.844172346772
Linijinė regresija,8834.8910714,8213.716267239637
Linijinė regresija,3931.352857142857,4574.716345199117
Linijinė regresija,10736.1910715,10525.410853574638
Linijinė regresija,9887.31619047619,8470.615527203328
Linijinė regresija,12828.2392857,12673.196718389303
Linijinė regresija,7929.8,7737.590317748097
Linijinė regresija,11462.6214286,11969.495963984049
Linijinė regresija,13216.731904761906,11188.604170067738
Linijinė regresija,9428.957142857142,9639.73917206865
Linijinė regresija,13984.3214286,13282.026767021973
Linijinė regresija,12472.1267859,12794.288739087133
Linijinė regresija,7833.066666666667,7611.693202892476
Linijinė regresija,5393.142380952381,5786.016854815621
Linijinė regresija,16596.8767859,14499.457448899626
Linijinė regresija,5287.3623809523815,5375.735370537134
Linijinė regresija,17620.9053572,14856.993009396774
Linijinė regresija,14403.7178571,13782.729100161821
Linijinė regresija,6841.286666666667,6024.1021203163555
Linijinė regresija,12521.551904761904,9817.520617436006
Linijinė regresija,13093.4642858,12212.932307283165
Linijinė regresija,16371.958095238097,13416.350756698223
Linijinė regresija,17893.6839287,14331.363940906343
Linijinė regresija,15199.86,12388.730430048083
Linijinė regresija,21376.3910722,17157.0218852836
Linijinė regresija,12837.900476190476,9553.645976055559
Linijinė regresija,20064.9160715,17485.440165907712
Linijinė regresija,13577.369523809524,9830.85477374218
Linijinė regresija,21859.641072,18933.640726178928
Linijinė regresija,13020.36380952381,9503.460987711689
Linijinė regresija,15746.2125,16267.135341519108
Linijinė regresija,12793.040952380952,10418.928351850544
Linijinė regresija,15259.9000001,14728.80082212693
Linijinė regresija,16907.9089285,14927.265669209006
Linijinė regresija,10207.446666666669,13368.785283176825
Linijinė regresija,3078.3519047619047,14463.507784731686
Linijinė regresija,17321.0625,15420.137838084775
Linijinė regresija,12918.127142857142,11972.398303381378
Linijinė regresija,16860.192857000002,15208.854316766337
Linijinė regresija,12039.73476190476,14261.834716676414
Linijinė regresija,17931.0839285,15470.530766739448
Linijinė regresija,20542.9392857,16901.471096778256
Linijinė regresija,11235.12619047619,11190.852704321405
Linijinė regresija,16007.406666666666,12750.24865063154
Linijinė regresija,18838.4232143,16565.069069910547
Linijinė regresija,13556.526666666668,12104.404251295557
Linijinė regresija,15865.2071429,14616.70397985688
Linijinė regresija,10563.709523809524,9703.996468702338
Linijinė regresija,13766.5625001,12979.30281853416
Linijinė regresija,10908.97761904762,9594.752463452414
Linijinė regresija,12847.2589286,12080.278833814955
Linijinė regresija,12360.4642856,11507.02660164515
Linijinė regresija,14563.584761904762,11627.562822669635
Linijinė regresija,10562.7,10223.834631060086
Linijinė regresija,12973.957142857143,11163.86184220577
Linijinė regresija,12537.6553572,11064.528430493141
Linijinė regresija,14088.166666666666,11555.90917952331
Linijinė regresija,9898.8517856,9903.304845687606
Linijinė regresija,11402.710952380952,9821.005658968945
Linijinė regresija,6226.8660713,7021.618806101799
Linijinė regresija,9495.760952380951,8706.585860491476
Linijinė regresija,5871.5035714,6003.043418372196
Linijinė regresija,5105.782380952381,5804.607110707099
Linijinė regresija,5910.5642858,6062.9369196053985
Linijinė regresija,5026.172380952381,5022.530652247934
Linijinė regresija,5637.5125,5929.060146517481
Linijinė regresija,6001.1466666666665,5758.110063148974
Linijinė regresija,4151.2553573000005,4881.710361308419
Linijinė regresija,5403.985238095238,5432.996281696166
Linijinė regresija,3881.2017857,4317.442405289427
Linijinė regresija,5451.612380952381,5500.845955669595
Linijinė regresija,3702.962380952381,4232.943246678559
Linijinė regresija,4689.9142858,4840.7507748282305
Linijinė regresija,3356.1285714,4144.525212027881
Linijinė regresija,2193.619047619048,2880.4660003327253
Linijinė regresija,1445.2,2209.9696205139
Linijinė regresija,1767.2875,2513.5818183447363
Linijinė regresija,1956.4557142857143,2542.849340901873
Linijinė regresija,791.18035715,1411.956301553836
Linijinė regresija,681.2385714285714,1428.975432073462
Linijinė regresija,172.094642856,633.4114464784261
Linijinė regresija,41.86,652.7774263620986
Linijinė regresija,0.0,302.7027959574325
Linijinė regresija,0.0,465.2101051626805
Linijinė regresija,0.0,239.1321092995522
Linijinė regresija,0.0,325.09392732606193
Linijinė regresija,0.0,197.67035969241897
Linijinė regresija,0.0,263.20177258378953
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,218.03674408619827
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,44.70721617932122
Linijinė regresija,0.0,196.1472363706498
Linijinė regresija,0.0,206.837419984814
Linijinė regresija,0.0,114.65560350022224
Linijinė regresija,0.0,171.2960467486837
Linijinė regresija,0.0,92.1207590880249
Linijinė regresija,0.0,251.15252364124444
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,3.638984954600346
Linijinė regresija,0.0,556.5355710673239
Linijinė regresija,0.0,487.6665963943424
Linijinė regresija,0.0,75.38436847081084
Linijinė regresija,0.0,41.237755895136615
Linijinė regresija,0.0,245.91418112741212
Linijinė regresija,0.0,30.69040181109176
Linijinė regresija,0.0,407.2637157618783
Linijinė regresija,0.0,358.6283458230437
Linijinė regresija,0.0,37.98107009060277
Linijinė regresija,0.0,333.7355059857755
Linijinė regresija,0.0,43.589968162425976
Linijinė regresija,0.0,365.09876958712357
Linijinė regresija,0.0,115.54889566999645
Linijinė regresija,0.0,73.63058355806515
Linijinė regresija,0.0,481.86209640872676
Linijinė regresija,0.0,581.5718923861996
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,580.671659386423
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,639.8762392960771
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,754.5813180792202
